Number,Name,Type1,Type2,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Total,Category,Height(m),Weight(kg),Ability1,Ability2,Hidden Ability,Generation,Region,Legendary/Mythical
906,Sprigatito,Grass,,45,45,35,45,35,70,275,Grass Cat,0.4,4.1,Overgrow,,,9,Paldea,No
907,Floragato,Grass,,61,60,45,63,52,91,372,Grass Cat,0.9,12.2,Overgrow,,,9,Paldea,No
908,Meowscarada,Grass,Dark,76,110,70,81,70,123,530,Magician,1.5,31.2,Overgrow,,,9,Paldea,No
909,Fuecoco,Fire,,67,45,59,63,40,36,310,Fire Croc,0.4,9.8,Blaze,,,9,Paldea,No
910,Crocalor,Fire,,81,55,68,81,54,49,388,Fire Croc,1.0,30.7,Blaze,,,9,Paldea,No
911,Skeledirge,Fire,Ghost,104,75,100,110,75,66,530,Singer,1.6,326.5,Blaze,,,9,Paldea,No
912,Quaxly,Water,,55,65,45,45,45,50,305,Duckling,0.5,6.1,Torrent,,,9,Paldea,No
913,Quaxwell,Water,,70,77,60,60,60,65,392,Practicing,1.2,21.5,Torrent,,,9,Paldea,No
914,Quaquaval,Water,Fighting,85,120,80,85,75,85,530,Dancer,1.8,61.9,Torrent,,,9,Paldea,No
915,Lechonk,Normal,,54,45,40,35,45,35,254,Hog,0.5,10.2,Aroma Veil,Gluttony,Thick Fat,9,Paldea,No
916,Oinkologne,Normal,,110,100,75,59,80,65,489,Hog,1.0,120.0,Aroma Veil,Gluttony,Thick Fat,9,Paldea,No
917,Tarountula,Bug,,35,41,90,25,90,20,301,String Ball,0.3,1.8,Insomnia,Stakeout,,9,Paldea,No
918,Spidops,Bug,,60,79,92,52,86,35,404,Trap,0.9,16.5,Insomnia,Stakeout,,9,Paldea,No
919,Nymble,Bug,,33,46,40,45,30,70,264,Grasshopper,0.2,1.0,Swarm,,,9,Paldea,No
920,Lokix,Bug,Dark,71,102,78,52,55,92,450,Grasshopper,1.0,17.5,Swarm,,,9,Paldea,No
921,Pawmi,Electric,,45,50,20,40,25,60,240,Mouse,0.3,2.5,Static,Natural Cure,Iron Fist,9,Paldea,No
922,Pawmo,Electric,Fighting,60,75,40,50,40,85,350,Mouse,0.4,6.5,Volt Absorb,Natural Cure,Iron Fist,9,Paldea,No
923,Pawmot,Electric,Fighting,70,115,70,70,60,105,490,Double Discharge,0.9,41.5,Volt Absorb,Natural Cure,Iron Fist,9,Paldea,No
924,Tandemaus,Normal,,50,50,45,40,45,75,305,Couple,0.3,1.8,Run Away,Pickup,Own Tempo,9,Paldea,No
925,Maushold,Normal,,74,75,70,65,75,111,470,Family,0.3,2.3,Friend Guard,Cheek Pouch,Technician,9,Paldea,No
926,Fidough,Fairy,,37,55,70,30,55,65,312,Puppy,0.3,10.9,Own Tempo,,,9,Paldea,No
927,Dachsbun,Fairy,,57,80,99,50,80,95,461,Dog,0.5,14.9,Well-Baked Body,,,9,Paldea,No
928,Smoliv,Grass,Normal,41,35,45,58,51,30,260,Olive,0.3,6.5,Early Bird,,,9,Paldea,No
929,Dolliv,Grass,Normal,52,53,60,78,78,47,368,Olive,0.6,11.9,Early Bird,,,9,Paldea,No
930,Arboliva,Grass,Normal,78,69,90,125,109,39,510,Olive,1.4,48.2,Seed Sower,,,9,Paldea,No
931,Squawkabilly,Normal,Flying,82,96,51,45,51,92,417,Parrot,0.6,2.4,Intimidate,Hustle,Guts,9,Paldea,No
932,Nacli,Rock,,55,55,75,35,35,25,280,Rock Salt,0.4,16.0,Purifying Salt,Sturdy,Clear Body,9,Paldea,No
933,Naclstack,Rock,,60,60,100,35,65,35,355,Rock Salt,0.6,105.0,Purifying Salt,Sturdy,Clear Body,9,Paldea,No
934,Garganacl,Rock,,100,100,130,45,90,35,500,Rock Salt,2.3,240.0,Purifying Salt,Sturdy,Clear Body,9,Paldea,No
935,Charcadet,Fire,,40,50,40,70,40,35,275,Fire Child,0.6,10.5,Flash Fire,,,9,Paldea,No
936,Armarouge,Fire,Psychic,85,60,100,125,80,75,525,Fire Warrior,1.5,85.0,Flash Fire,,,9,Paldea,No
