Movie Name,Director,Main Actors,Release Date,Plot Summary,Box Office (USD)
Avatar 3,James Cameron,Sam Worthington; Zoe Saldana,2025-12-19,Jake Sully and Neytiri face new threats on Pandora as humans escalate their colonization efforts.,2300000000
Avengers: Secret Wars,Anthony Russo; Joe Russo,Robert Downey Jr.; Chris Hemsworth; Tom Holland,2025-05-02,Multiverse heroes unite to stop a collapsing reality caused by interdimensional war.,2100000000
The Batman Part II,Matt Reeves,Robert Pattinson; Zoë Kravitz,2025-10-03,Batman confronts a deeper conspiracy in Gotham while battling psychological and physical threats.,1200000000
Mission: Impossible – Dead Reckoning Part Two,Christopher McQuarrie,Tom Cruise; Rebecca Ferguson,2025-06-27,Ethan Hunt races to stop a rogue AI threatening global security.,1100000000
Fantastic Four,Matt Shakman,Pedro Pascal; Vanessa Kirby,2025-07-25,Marvel’s first family gains powers and faces a cosmic-level threat.,1050000000
Superman: Legacy,James Gunn,David Corenswet; Rachel Brosnahan,2025-07-11,A young Superman balances his Kryptonian heritage with his human upbringing.,1000000000
Jurassic World 4,Gareth Edwards,Scarlett Johansson; Jonathan Bailey,2025-08-15,"Dinosaurs spread across the globe, forcing humanity to adapt or face extinction.",950000000
Spider-Man 4,Destin Daniel Cretton,Tom Holland; Zendaya,2025-11-07,Peter Parker faces new villains while rebuilding his identity after losing public recognition.,900000000
Inside Out 2,Pete Docter,Amy Poehler; Phyllis Smith,2025-03-14,Riley navigates teenage emotions as new feelings disrupt her inner world.,850000000
Deadpool 3,Shawn Levy,Ryan Reynolds; Hugh Jackman,2025-02-14,"Deadpool breaks into the multiverse, teaming up with Wolverine for chaotic adventures.",800000000
